"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R56,R30,R74,R85,R24,R59,R65,R33,R39,R82,R15,R21,R45,R68,R12,R77";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";16;"11";;;
2;"IS8,IS1,IS5,IS4,IS7,J2,IS2,IS3,IS6";"PinHeader_1x02_P2.54mm_Vertical";9;"Conn_01x02";;;
3;"IC3,IC5";"SOP65P640X120-14N";2;"SN74HCS32PWR";;;
4;"R72,R75,R28,R37,R78,R9,R60,R16,R31,R53,R66,R69,R63,R25,R57,R47,R19,R41,R34,R13,R86,R83,R10,R22";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";24;"1K5";;;
5;"Q5,Q8,Q1,Q14,Q11,Q7,Q10,Q3,Q2,Q4,Q15,Q13,Q6,Q12,Q16,Q9";"SOT-23";16;"2N7002E";;;
6;"U6,U8,U1,U5,U2,U4,U7,U3";"SO1SOP-8-A_TPK";8;"LM393";;;
7;"R71,R51,R36,R35,R88,R87,R27,R62,R61,R26,R80,R17,R49,R18,R70,R79";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";16;"1K2";;;
8;"R64,R55,R76,R38,R20,R84,R43,R11,R32,R29,R67,R14,R23,R73,R58,R81";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";16;"1K8";;;
9;"R1,R54,R42,R46,R40,R50,R52,R48,R44";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";9;"240";;;
10;"IC1,IC2";"HEF4043BT653";2;"HEF4043BT,653";;;
11;"IC4";"SOP65P640X120-20N";1;"SN74AHC240PWR";;;
12;"J1";"PinHeader_1x13_P2.54mm_Vertical";1;"Conn_01x13";;;
13;"C9,C48,C14,C15,C12,C10,C13,C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";8;"10u";;;
14;"C19,C3,C8,C20,C18,C17,C2,C6,C16,C7,C4,C5,C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";13;"1u";;;
